task	model	cond	replica	prog_cc	solution_cc	solution_human_comp	Short name	EvalPlus Leaderboard position	Parameters (B)	Size (GB)	Licence	n_tests	n_TP	n_TN	n_FP	n_FN	n_Error	n_Pass	n_Fail	n_tests_manual	n_TP_manual	n_TN_manual	n_FP_manual	n_FN_manual	n_Error_manual	n_Pass_manual	n_Fail_manual	n_tests_auto	n_TP_auto	n_TN_auto	n_FP_auto	n_FN_auto	n_Error_auto	n_Pass_auto	n_Fail_auto	p_Pass	p_Fail	p_TP	p_TN	p_FP	p_FN	p_Error	p_Pass_manual	p_Fail_manual	p_TP_manual	p_TN_manual	p_FP_manual	p_FN_manual	p_Error_manual	p_Pass_auto	p_Fail_auto	p_TP_auto	p_TN_auto	p_FP_auto	p_FN_auto	p_Error_auto
HE104	athene-v2-chat	post	6	6	5	QQ	Athene		72.7	271	open	15	0	4	0	0	11	4	11	10	0	2	0	0	8	2	8	2	0	0	0	0	2	0	2	0.266666666666667	0.733333333333333	0	0.266666666666667	0	0	0.733333333333333	0.2	0.8	0	0.2	0	0	0.8	0	1	0	0	0	0	1
HE104	athene-v2-chat	post	7	6	5	QQ	Athene		72.7	271	open	15	0	0	0	0	15	0	15	10	0	0	0	0	10	0	10	2	0	0	0	0	2	0	2	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1
HE104	athene-v2-chat	post	8	6	5	QQ	Athene		72.7	271	open	15	9	6	0	0	0	15	0	10	7	3	0	0	0	10	0	2	2	0	0	0	0	2	0	1	0	0.6	0.4	0	0	0	1	0	0.7	0.3	0	0	0	1	0	1	0	0	0	0
HE104	athene-v2-chat	post	9	6	5	QQ	Athene		72.7	271	open	15	0	0	0	0	15	0	15	10	0	0	0	0	10	0	10	2	0	0	0	0	2	0	2	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1
HE104	athene-v2-chat	post	10	6	5	QQ	Athene		72.7	271	open	15	0	0	0	0	15	0	15	10	0	0	0	0	10	0	10	2	0	0	0	0	2	0	2	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1
HE108	athene-v2-chat	post	1	2	3	NQ	Athene		72.7	271	open	12	7	5	0	0	0	12	0	10	7	3	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0.583333333333333	0.416666666666667	0	0	0	1	0	0.7	0.3	0	0	0							
HE108	athene-v2-chat	post	2	2	3	NQ	Athene		72.7	271	open	12	7	5	0	0	0	12	0	10	7	3	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0.583333333333333	0.416666666666667	0	0	0	1	0	0.7	0.3	0	0	0							
HE108	athene-v2-chat	post	3	2	3	NQ	Athene		72.7	271	open	12	3	1	0	0	8	4	8	10	3	1	0	0	6	4	6	0	0	0	0	0	0	0	0	0.333333333333333	0.666666666666667	0.25	0.0833333333333333	0	0	0.666666666666667	0.4	0.6	0.3	0.1	0	0	0.6							
HE108	athene-v2-chat	post	4	2	3	NQ	Athene		72.7	271	open	12	7	5	0	0	0	12	0	10	7	3	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0.583333333333333	0.416666666666667	0	0	0	1	0	0.7	0.3	0	0	0							
HE108	athene-v2-chat	post	5	2	3	NQ	Athene		72.7	271	open	12	7	5	0	0	0	12	0	10	7	3	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0.583333333333333	0.416666666666667	0	0	0	1	0	0.7	0.3	0	0	0							
HE108	athene-v2-chat	post	6	2	3	NQ	Athene		72.7	271	open	12	7	5	0	0	0	12	0	10	7	3	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0.583333333333333	0.416666666666667	0	0	0	1	0	0.7	0.3	0	0	0							
HE108	athene-v2-chat	post	7	2	3	NQ	Athene		72.7	271	open	12	7	5	0	0	0	12	0	10	7	3	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0.583333333333333	0.416666666666667	0	0	0	1	0	0.7	0.3	0	0	0							
HE108	athene-v2-chat	post	8	2	3	NQ	Athene		72.7	271	open	12	7	5	0	0	0	12	0	10	7	3	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0.583333333333333	0.416666666666667	0	0	0	1	0	0.7	0.3	0	0	0							
HE108	athene-v2-chat	post	9	2	3	NQ	Athene		72.7	271	open	12	7	5	0	0	0	12	0	10	7	3	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0.583333333333333	0.416666666666667	0	0	0	1	0	0.7	0.3	0	0	0							
HE108	athene-v2-chat	post	10	2	3	NQ	Athene		72.7	271	open	12	7	5	0	0	0	12	0	10	7	3	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0.583333333333333	0.416666666666667	0	0	0	1	0	0.7	0.3	0	0	0							
HE111	athene-v2-chat	pre	1	8	3	Q	Athene		72.7	271	open	85	10	75	0	0	0	85	0	11	3	8	0	0	0	11	0	74	7	67	0	0	0	74	0	1	0	0.117647058823529	0.882352941176471	0	0	0	1	0	0.272727272727273	0.727272727272727	0	0	0	1	0	0.0945945945945946	0.905405405405405	0	0	0
HE111	athene-v2-chat	pre	2	8	3	Q	Athene		72.7	271	open	85	10	75	0	0	0	85	0	11	3	8	0	0	0	11	0	74	7	67	0	0	0	74	0	1	0	0.117647058823529	0.882352941176471	0	0	0	1	0	0.272727272727273	0.727272727272727	0	0	0	1	0	0.0945945945945946	0.905405405405405	0	0	0
HE111	athene-v2-chat	pre	3	8	3	Q	Athene		72.7	271	open	85	10	75	0	0	0	85	0	11	3	8	0	0	0	11	0	74	7	67	0	0	0	74	0	1	0	0.117647058823529	0.882352941176471	0	0	0	1	0	0.272727272727273	0.727272727272727	0	0	0	1	0	0.0945945945945946	0.905405405405405	0	0	0
HE111	athene-v2-chat	pre	4	8	3	Q	Athene		72.7	271	open	85	10	75	0	0	0	85	0	11	3	8	0	0	0	11	0	74	7	67	0	0	0	74	0	1	0	0.117647058823529	0.882352941176471	0	0	0	1	0	0.272727272727273	0.727272727272727	0	0	0	1	0	0.0945945945945946	0.905405405405405	0	0	0
HE111	athene-v2-chat	pre	5	8	3	Q	Athene		72.7	271	open	85	10	75	0	0	0	85	0	11	3	8	0	0	0	11	0	74	7	67	0	0	0	74	0	1	0	0.117647058823529	0.882352941176471	0	0	0	1	0	0.272727272727273	0.727272727272727	0	0	0	1	0	0.0945945945945946	0.905405405405405	0	0	0
