task	model	cond	prog_cc	solution_cc	solution_human_comp	Short name	EvalPlus Leaderboard position	Parameters (B)	Size (GB)	Licence	n_tests	evalAt1	n_valid	p_valid	avg_p_TP	sd_p_TP	avg_p_TN	sd_p_TN	avg_p_FP	sd_p_FP	avg_p_FN	sd_p_FN	avg_p_Error	sd_p_Error	avg_p_Pass	sd_p_Pass	avg_p_Fail	sd_p_Fail	n_valid_manual	p_valid_manual	avg_p_Pass_manual	n_valid_auto	p_valid_auto	avg_p_Pass_auto	n_at_least_one_error	n_all_error
HE140	athene-v2-chat	post	6	13	NQ	Athene		72.7	271	open	106	0.1	1	0.1	0.156603773584906	0.306412615784504	0.0216981132075472	0.0235534381271371	0.000943396226415094	0.0029832808114796	0.126415094339623	0.267838885535467	0.694339622641509	0.479210616286904	0.178301886792453	0.325663814718129	0.821698113207547	0.325663814718129	1	0.1	0.258333333333333	1	0.1	0.160869565217391	7	4
HE141	athene-v2-chat	post	4	5	NQ	Athene		72.7	271	open	609	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	10
HE151	athene-v2-chat	post	4	5	QQ	Athene		72.7	271	open	70	1	10	1	0.9	0	0.1	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0
HE158	athene-v2-chat	post	5	7	NQ	Athene		72.7	271	open	43	0	0	0	0.376744186046512	0.383356651143348	0.086046511627907	0.0820754166360709	0.0232558139534884	0.0245137803113828	0.0255813953488372	0.0318679144047976	0.488372093023256	0.515955388908333	0.462790697674419	0.46491597754208	0.537209302325581	0.46491597754208	0	0	0.428571428571429	2	0.2	0.488	5	4
HE16	athene-v2-chat	post	6	5	Q	Athene		72.7	271	open	16	0.7	7	0.7	0.45625	0.271713313991052	0.35625	0.030190368221228	0.01875	0.030190368221228	0.16875	0.271713313991052	0	0	0.8125	0.30190368221228	0.1875	0.30190368221228	7	0.7	0.8125	7	0.7	0.7	0	0
HE160	athene-v2-chat	pre	8	4	Q	Athene		72.7	271	open	16	0.7	7	0.7	0.21875	0.15095184110614	0.59375	0.222926401656591	0	0	0	0	0.1875	0.343592135468138	0.8125	0.343592135468138	0.1875	0.343592135468138	7	0.7	0.8	9	0.9	0.9	3	1
HE160	athene-v2-chat	post	8	8	NQ	Athene		72.7	271	open	17	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	10	1		10	10
HE161	athene-v2-chat	post	5	6	QQ	Athene		72.7	271	open	13	0.5	5	0.5	0.515384615384615	0.217722356054911	0.3	0.127948461024355	0.0153846153846154	0.048650425541052	0	0	0.169230769230769	0.317783248919583	0.815384615384615	0.312357791442894	0.184615384615385	0.312357791442894	5	0.5	0.82	10	1		4	1
HE20	athene-v2-chat	pre	5	2	S	Athene		72.7	271	open	29	1	10	1	0.586206896551724	0	0.413793103448276	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0
HE20	athene-v2-chat	post	5	3	QQ	Athene		72.7	271	open	28	0.9	9	0.9	0.739285714285714	0.25975852208526	0.178571428571429	0	0	0	0	0	0.0821428571428571	0.25975852208526	0.917857142857143	0.25975852208526	0.0821428571428571	0.25975852208526	9	0.9	0.918181818181818	9	0.9	0.9	1	0
HE21	athene-v2-chat	post	6	6	NQ	Athene		72.7	271	open	59	0	0	0	0.00847457627118644	0.0267989632217659	0.00169491525423729	0.00535979264435318	0	0	0	0	0.989830508474576	0.0321587558661191	0.0101694915254237	0.0321587558661191	0.989830508474576	0.0321587558661191	0	0	0.0294117647058824	0	0	0	10	9
HE24	athene-v2-chat	pre	3	1	S	Athene		72.7	271	open	31	0	0	0	0.806451612903226	0	0.129032258064516	0	0.0645161290322581	0	0	0	0	0	0.935483870967742	0	0.0645161290322581	0	0	0	0.875	0	0	0.956521739130435	0	0
HE24	athene-v2-chat	post	3	2	Q	Athene		72.7	271	open	35	1	10	1	0.828571428571429	0	0.171428571428571	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0
HE30	athene-v2-chat	post	6	5	Q	Athene		72.7	271	open	14	0.9	9	0.9	0.714285714285714	0	0.271428571428571	0.0451753951452626	0	0	0	0	0.0142857142857143	0.0451753951452626	0.985714285714286	0.0451753951452626	0.0142857142857143	0.0451753951452626	9	0.9	0.990909090909091	10	1		1	0
HE37	athene-v2-chat	post	3	2	S	Athene		72.7	271	open	43	0	0	0	0.344186046511628	0.444342275378835	0.0767441860465116	0.0465761825916273	0.00232558139534884	0.00735413409341484	0	0	0.576744186046512	0.468437752801271	0.42093023255814	0.465303579858355	0.57906976744186	0.465303579858355	0	0	0.433333333333333	4	0.4	0.4	9	2
HE42	athene-v2-chat	post	8	10	NQ	Athene		72.7	271	open	81	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	10
HE43	athene-v2-chat	post	8	8	QQ	Athene		72.7	271	open	28	0.1	1	0.1	0.592857142857143	0.0677630927178939	0.214285714285714	0	0	0	0.192857142857143	0.0677630927178938	0	0	0.807142857142857	0.0677630927178939	0.192857142857143	0.0677630927178938	1	0.1	0.8875	1	0.1	0.75	0	0
HE45	athene-v2-chat	pre	1	2	S	Athene		72.7	271	open	10	1	10	1	0.5	0	0.5	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0
HE45	athene-v2-chat	post	1	1	S	Athene		72.7	271	open	10	1	10	1	0.6	0	0.4	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0
HE50	athene-v2-chat	post	2	3	NQ	Athene		72.7	271	open	22	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	10
HE57	athene-v2-chat	post	3	3	S	Athene		72.7	271	open	17	0	0	0	0.588235294117647	0	0.352941176470588	0	0	0	0	0	0.0588235294117647	0	0.941176470588235	0	0.0588235294117647	0	10	1	1	0	0	0.666666666666667	10	0
HE60	athene-v2-chat	pre	2	1	S	Athene		72.7	271	open	7	1	10	1	0.428571428571429	0	0.571428571428571	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0
HE60	athene-v2-chat	post	2	1	Q	Athene		72.7	271	open	10	0.2	2	0.2	0.52	0.0421637021355784	0.4	0	0	0	0.08	0.0421637021355784	0	0	0.92	0.0421637021355784	0.08	0.0421637021355784	2	0.2	0.9	10	1		0	0
HE65	athene-v2-chat	pre	3	2	S	Athene		72.7	271	open	13	1	10	1	0.769230769230769	0	0.230769230769231	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0
HE65	athene-v2-chat	post	3	2	NQ	Athene		72.7	271	open	24	0.2	2	0.2	0.133333333333333	0.281091347570523	0.0666666666666667	0.140545673785261	0	0	0	0	0.8	0.421637021355784	0.2	0.421637021355784	0.8	0.421637021355784	2	0.2	0.2	2	0.2	0.2	8	8
HE71	athene-v2-chat	post	5	5	QQ	Athene		72.7	271	open	18	0	0	0	0.533333333333333	0.281091347570523	0.194444444444444	0.134179414316569	0.0111111111111111	0.0351364184463153	0	0	0.261111111111111	0.392880746801282	0.727777777777778	0.393229741537475	0.272222222222222	0.393229741537475	0	0	0.7	8	0.8	0.8	10	2
HE73	athene-v2-chat	post	5	4	NQ	Athene		72.7	271	open	78	0	0	0	0.00256410256410256	0.008108404256842	0.00128205128205128	0.004054202128421	0	0	0	0	0.996153846153846	0.012162606385263	0.00384615384615385	0.012162606385263	0.996153846153846	0.012162606385263	0	0	0.0166666666666667	0	0	0	10	9
HE74	athene-v2-chat	pre	5	4	Q	Athene		72.7	271	open	9	0.9	9	0.9	0.4	0.140545673785261	0.5	0.175682092231577	0	0	0	0	0.1	0.316227766016838	0.9	0.316227766016838	0.1	0.316227766016838	9	0.9	0.9	9	0.9	0.9	1	1
HE74	athene-v2-chat	post	5	4	Q	Athene		72.7	271	open	16	1	10	1	0.625	0	0.375	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1		0	0
HE80	athene-v2-chat	pre	6	2	Q	Athene		72.7	271	open	10	0.3	3	0.3	0.41	0.0875595035770913	0.5	0	0	0	0.09	0.0875595035770913	0	0	0.91	0.0875595035770913	0.09	0.0875595035770913	3	0.3	0.9	9	0.9	0.95	0	0
HE80	athene-v2-chat	post	6	5	Q	Athene		72.7	271	open	16	1	10	1	0.625	0	0.375	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1		0	0
HE84	athene-v2-chat	pre	2	1	S	Athene		72.7	271	open	8	1	10	1	0.625	0	0.375	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0
HE84	athene-v2-chat	post	2	5	NQ	Athene		72.7	271	open	13	1	10	1	0.692307692307692	0	0.307692307692308	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0
HE86	athene-v2-chat	post	4	2	NQ	Athene		72.7	271	open	15	0.2	2	0.2	0.106666666666667	0.224873078056418	0.12	0.200739374055755	0	0	0	0	0.773333333333333	0.415977207352803	0.226666666666667	0.415977207352803	0.773333333333333	0.415977207352803	2	0.2	0.227272727272727	10	1		8	7
HE90	athene-v2-chat	pre	3	1	S	Athene		72.7	271	open	50	0.5	5	0.5	0.528	0.253894116163062	0.252	0.0885437744847146	0	0	0.098	0.160955480387176	0.122	0.316150456446153	0.78	0.324276973520408	0.22	0.324276973520408	7	0.7	0.833333333333333	5	0.5	0.772727272727273	2	1
HE90	athene-v2-chat	post	3	1	S	Athene		72.7	271	open	42	1	10	1	0.80952380952381	0	0.19047619047619	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0
HE99	athene-v2-chat	pre	7	2	S	Athene		72.7	271	open	15	0.4	4	0.4	0.34	0.155396744329307	0.473333333333333	0.167626863694632	0	0	0.08	0.103279555898864	0.106666666666667	0.31458379322998	0.813333333333333	0.301109061083632	0.186666666666667	0.301109061083632	8	0.8	0.89	5	0.5	0.66	2	1
HE99	athene-v2-chat	post	7	3	S	Athene		72.7	271	open	19	0.8	8	0.8	0.742105263157895	0.26542879818652	0.142105263157895	0.0499306998973955	0	0	0.0157894736842105	0.0499306998973955	0.1	0.316227766016838	0.884210526315789	0.314617709073121	0.115789473684211	0.314617709073121	8	0.8	0.876923076923077	9	0.9	0.9	1	1
HE0	claude-3	post	5	4	QQ	Claude3	37			proprietary	33	1	10	1	0.878787878787879	0	0.121212121212121	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0
HE1	claude-3	pre	5	9	NQ	Claude3	37			proprietary	222	0	0	0	0.0103603603603604	0.00522298112039822	0.635135135135135	0.40358282336037	0.294144144144144	0.365380757145593	0.00765765765765766	0.00522298112039822	0.0527027027027027	0.0848594133785868	0.645495495495496	0.399924297772032	0.354504504504504	0.399924297772032	0	0	0.618181818181818	0	0	0.646919431279621	3	0
HE1	claude-3	post	5	6	NQ	Claude3	37			proprietary	11	0	0	0	0.545454545454545	0	0.190909090909091	0.0516042011088679	0.263636363636364	0.0516042011088679	0	0	0	0	0.736363636363636	0.0516042011088679	0.263636363636364	0.0516042011088679	0	0	0.788888888888889	10	1		0	0
HE101	claude-3	pre	9	7	NQ	Claude3	37			proprietary	519	0	0	0	0	0	0.00211946050096339	0.000609302053982347	0	0	0.000192678227360308	0.000609302053982347	0.997687861271676	0.0012186041079647	0.00211946050096339	0.000609302053982347	0.997880539499037	0.000609302053982352	0	0	0.0833333333333333	0	0	0.00019723865877712	10	0
HE101	claude-3	post	9	6	QQ	Claude3	37			proprietary	463	0.1	1	0.1	0.178617710583153	0.379037266559116	0.00302375809935205	0.00637464179155613	0	0	0.0183585313174946	0.0580547734588147	0.8	0.421637021355784	0.181641468682505	0.385370919362441	0.818358531317495	0.385370919362441	1	0.1	0.161538461538462	1	0.1	0.182102908277405	8	8
HE104	claude-3	pre	6	2	S	Claude3	37			proprietary	25	1	10	1	0.24	0	0.76	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0
HE104	claude-3	post	6	5	QQ	Claude3	37			proprietary	15	0.3	3	0.3	0.486666666666667	0.0996289412064884	0.373333333333333	0.0562182695141045	0.0266666666666667	0.0562182695141045	0.0133333333333333	0.0281091347570523	0.1	0.090267093384844	0.86	0.101592261783666	0.14	0.101592261783666	3	0.3	0.81	10	1	1	6	0
HE108	claude-3	post	2	3	NQ	Claude3	37			proprietary	12	0	0	0	0.208333333333333	0.219602615289471	0.125	0.131761569173682	0.0833333333333333	0.0878410461157883	0.0833333333333333	0.0878410461157883	0.5	0.52704627669473	0.333333333333333	0.351364184463153	0.666666666666667	0.351364184463153	0	0	0.35	10	1		5	5
HE111	claude-3	pre	8	3	Q	Claude3	37			proprietary	85	1	10	1	0.117647058823529	0	0.882352941176471	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0
HE111	claude-3	post	8	10	QQ	Claude3	37			proprietary	17	1	10	1	0.705882352941177	0	0.294117647058824	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0
HE114	claude-3	post	5	6	QQ	Claude3	37			proprietary	28	0	0	0	0.467857142857143	0.0797707884178617	0.175	0.035515318786134	0.0392857142857143	0.035515318786134	0.317857142857143	0.0797707884178617	0	0	0.642857142857143	0.112938487863156	0.357142857142857	0.112938487863156	0	0	0.518181818181818	0	0	0.676923076923077	0	0
HE120	claude-3	pre	7	2	S	Claude3	37			proprietary	56	1	10	1	0.625	0	0.375	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0
HE120	claude-3	post	7	8	NQ	Claude3	37			proprietary	48	0.2	2	0.2	0.66875	0.355383259035185	0.116666666666667	0.0201269121474853	0.025	0.0215165741455968	0.114583333333333	0.266842028567234	0.075	0.237170824512628	0.785416666666667	0.352056622918446	0.214583333333333	0.352056622918446	2	0.2	0.761538461538461	7	0.7	0.781818181818182	1	0
HE127	claude-3	pre	4	2	Q	Claude3	37			proprietary	21	0.5	5	0.5	0.69047619047619	0.0250974417473681	0.285714285714286	0	0	0	0.0238095238095238	0.0250974417473681	0	0	0.976190476190476	0.0250974417473681	0.0238095238095238	0.0250974417473681	5	0.5	0.9	10	1	1	0	0
HE127	claude-3	post	4	5	Q	Claude3	37			proprietary	24	0	0	0	0.6875	0.0450051437389435	0.1875	0.0450051437389435	0.0208333333333333	0.0450051437389435	0.104166666666667	0.0450051437389435	0	0	0.875	0	0.125	0	0	0	0.72	10	1	1	0	0
HE13	claude-3	pre	5	3	Q	Claude3	37			proprietary	47	1	10	1	0.702127659574468	0	0.297872340425532	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0
HE13	claude-3	post	5	4	QQ	Claude3	37			proprietary	44	0.4	4	0.4	0.481818181818182	0.338933670587405	0.0545454545454545	0.070417879021953	0	0	0	0	0.463636363636364	0.407572941299271	0.536363636363636	0.407572941299271	0.463636363636364	0.407572941299271	4	0.4	0.445454545454545	4	0.4	0.57741935483871	6	1
HE132	claude-3	pre	7	3	Q	Claude3	37			proprietary	363	1	10	1	0.0165289256198347	0	0.983471074380165	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0
HE132	claude-3	post	7	7	NQ	Claude3	37			proprietary	18	0	0	0	0.416666666666667	0.123533926519688	0.183333333333333	0.0457373667971425	0.15	0.0457373667971425	0.25	0.123533926519688	0	0	0.6	0.119440855530349	0.4	0.119440855530349	0	0	0.566666666666667	8	0.8	0.8	0	0
HE136	claude-3	post	11	13	NQ	Claude3	37			proprietary	22	0	0	0	0.459090909090909	0.149148178209997	0.309090909090909	0.0516042011088679	0.0272727272727273	0.023472626340651	0.140909090909091	0.142858782622099	0.0636363636363636	0.148762881316771	0.768181818181818	0.177279202160955	0.231818181818182	0.177279202160955	0	0	0.733333333333333	10	1		2	0
HE138	claude-3	post	13	14	NQ	Claude3	37			proprietary	49	0	0	0	0.779591836734694	0.0129072557557893	0.13469387755102	0.0258145115115786	0.0489795918367347	0.0258145115115786	0.036734693877551	0.0129072557557893	0	0	0.914285714285714	0.0129072557557893	0.0857142857142857	0.0129072557557893	0	0	0.833333333333333	10	1	1	0	0
HE140	claude-3	post	6	13	NQ	Claude3	37			proprietary	106	0	0	0	0.232075471698113	0.16800812937926	0.0452830188679245	0.0238662464918368	0	0	0.522641509433962	0.298566648224188	0.2	0.421637021355784	0.277358490566038	0.186104019047469	0.722641509433962	0.186104019047469	0	0	0.558333333333333	0	0	0.229347826086957	2	2
HE141	claude-3	post	4	5	NQ	Claude3	37			proprietary	609	0	0	0	0.768144499178982	0.404848253254815	0.00919540229885057	0.00600585297179867	0	0	0.0188834154351396	0.0123183113682834	0.203776683087028	0.419796026048965	0.777339901477832	0.409713661149792	0.222660098522167	0.409713661149792	0	0	0.466666666666667	0	0	0.783838383838384	4	2
HE151	claude-3	post	4	5	QQ	Claude3	37			proprietary	70	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	10
HE158	claude-3	post	5	7	NQ	Claude3	37			proprietary	43	0	0	0	0.204651162790698	0.263748226943637	0.172093023255814	0.0120092506859145	0.0302325581395349	0.0191458744732224	0.586046511627907	0.263748226943637	0.00697674418604651	0.011233625384643	0.376744186046512	0.258919370519594	0.623255813953488	0.258919370519594	0	0	0.564285714285714	1	0.1	0.204	3	0
HE16	claude-3	post	6	5	Q	Claude3	37			proprietary	16	0	0	0	0.0625	0	0.3125	0	0.0625	0	0.5625	0	0	0	0.375	0	0.625	0	0	0	0.375	0	0	0	0	0
HE160	claude-3	pre	8	4	Q	Claude3	37			proprietary	16	0	0	0	0.3125	0	0.625	0	0.0625	0	0	0	0	0	0.9375	0	0.0625	0	0	0	0.928571428571429	10	1	1	0	0
HE160	claude-3	post	8	8	NQ	Claude3	37			proprietary	17	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	10	1		10	10
HE161	claude-3	post	5	6	QQ	Claude3	37			proprietary	13	0.3	3	0.3	0.515384615384615	0.217722356054911	0.230769230769231	0.158061897512025	0.0615384615384615	0.107570138273862	0.0384615384615385	0.12162606385263	0.153846153846154	0.322302694614783	0.746153846153846	0.301322965034309	0.253846153846154	0.301322965034309	3	0.3	0.78	10	1		3	1
HE20	claude-3	pre	5	2	S	Claude3	37			proprietary	29	1	10	1	0.586206896551724	0	0.413793103448276	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0
HE20	claude-3	post	5	3	QQ	Claude3	37			proprietary	28	0.5	5	0.5	0.767857142857143	0.0564692439315782	0.15	0.0602338601936834	0.0285714285714286	0.0602338601936834	0.0535714285714286	0.0564692439315782	0	0	0.917857142857143	0.101085379596923	0.0821428571428571	0.101085379596923	5	0.5	0.827272727272727	10	1	1	0	0
HE21	claude-3	post	6	6	NQ	Claude3	37			proprietary	59	0	0	0	0.688135593220339	0.335880339046133	0.0745762711864407	0.0311503926600909	0.00338983050847458	0.00714639019247091	0.0338983050847458	0.0159798142641028	0.2	0.3688188212763	0.76271186440678	0.366317854857567	0.23728813559322	0.366317854857567	0	0	0.741176470588235	0	0	0.778947368421053	6	0
HE24	claude-3	pre	3	1	S	Claude3	37			proprietary	31	1	10	1	0.806451612903226	0	0.193548387096774	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0
HE24	claude-3	post	3	2	Q	Claude3	37			proprietary	35	0.1	1	0.1	0.505714285714286	0.410751206070027	0.08	0.0421637021355784	0.0657142857142857	0.0357618730581306	0.322857142857143	0.410751206070027	0.0257142857142857	0.00903507902905251	0.585714285714286	0.431681834629634	0.414285714285714	0.431681834629634	1	0.1	0.558333333333333	6	0.6	0.6	9	0
HE30	claude-3	post	6	5	Q	Claude3	37			proprietary	14	0.6	6	0.6	0.664285714285714	0.158113883008419	0.192857142857143	0.134897290230622	0.0928571428571428	0.134897290230622	0.05	0.158113883008419	0	0	0.857142857142857	0.202030508910442	0.142857142857143	0.202030508910442	6	0.6	0.909090909090909	10	1		0	0
HE37	claude-3	post	3	2	S	Claude3	37			proprietary	43	0.2	2	0.2	0.541860465116279	0.17542346200601	0.13953488372093	0	0	0	0.318604651162791	0.17542346200601	0	0	0.681395348837209	0.17542346200601	0.318604651162791	0.17542346200601	2	0.2	0.741666666666667	2	0.2	0.63448275862069	0	0
HE42	claude-3	post	8	10	NQ	Claude3	37			proprietary	81	0	0	0	0.358024691358025	0.281705203129627	0.0555555555555556	0.0219692968148792	0.0185185185185185	0.0219692968148792	0.533333333333333	0.252595797326563	0.0345679012345679	0.0765033747398996	0.41358024691358	0.261454550426511	0.58641975308642	0.261454550426511	0	0	0.276923076923077	1	0.1	0.4140625	2	0
HE43	claude-3	post	8	8	QQ	Claude3	37			proprietary	29	1	10	1	0.793103448275862	0	0.206896551724138	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0
HE45	claude-3	pre	1	2	S	Claude3	37			proprietary	10	1	10	1	0.5	0	0.5	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0
