task	model	cond	prog_cc	solution_cc	solution_human_comp	Short name	EvalPlus Leaderboard position	Parameters (B)	Size (GB)	Licence	n_tests	evalAt1	n_valid	p_valid	avg_p_TP	sd_p_TP	avg_p_TN	sd_p_TN	avg_p_FP	sd_p_FP	avg_p_FN	sd_p_FN	avg_p_Error	sd_p_Error	avg_p_Pass	sd_p_Pass	avg_p_Fail	sd_p_Fail	n_valid_manual	p_valid_manual	avg_p_Pass_manual	n_valid_auto	p_valid_auto	avg_p_Pass_auto	n_at_least_one_error	n_all_error	Cond	Model	Open model	Difficulty	CC_prog	CC_sol
HEx140	athene-v2-chat	post	6	13	NQ	Athene		72.7	271	open	106	0.1	1	0.1	0.156603773584906	0.306412615784504	0.0216981132075472	0.0235534381271371	0.000943396226415094	0.0029832808114796	0.126415094339623	0.267838885535467	0.694339622641509	0.479210616286904	0.178301886792453	0.325663814718129	0.821698113207547	0.325663814718129	1	0.1	0.258333333333333	1	0.1	0.160869565217391	7	4	Post	Athene	Yes	NQ	High	High
HEx151	athene-v2-chat	post	4	5	QQ	Athene		72.7	271	open	70	1	10	1	0.9	0	0.1	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Athene	Yes	QQ	Low	Low
HEx16	athene-v2-chat	post	6	5	Q	Athene		72.7	271	open	16	0.7	7	0.7	0.45625	0.271713313991052	0.35625	0.030190368221228	0.01875	0.030190368221228	0.16875	0.271713313991052	0	0	0.8125	0.30190368221228	0.1875	0.30190368221228	7	0.7	0.8125	7	0.7	0.7	0	0	Post	Athene	Yes	Q	High	Low
HEx160	athene-v2-chat	pre	8	4	Q	Athene		72.7	271	open	16	0.7	7	0.7	0.21875	0.15095184110614	0.59375	0.222926401656591	0	0	0	0	0.1875	0.343592135468138	0.8125	0.343592135468138	0.1875	0.343592135468138	7	0.7	0.8	9	0.9	0.9	3	1	Pre	Athene	Yes	Q	High	Low
HEx161	athene-v2-chat	post	5	6	QQ	Athene		72.7	271	open	13	0.5	5	0.5	0.515384615384615	0.217722356054911	0.3	0.127948461024355	0.0153846153846154	0.048650425541052	0	0	0.169230769230769	0.317783248919583	0.815384615384615	0.312357791442894	0.184615384615385	0.312357791442894	5	0.5	0.82	10	1		4	1	Post	Athene	Yes	QQ	Low	High
HEx20	athene-v2-chat	pre	5	2	S	Athene		72.7	271	open	29	1	10	1	0.586206896551724	0	0.413793103448276	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Athene	Yes	S	Low	Low
HEx20	athene-v2-chat	post	5	3	QQ	Athene		72.7	271	open	28	0.9	9	0.9	0.739285714285714	0.25975852208526	0.178571428571429	0	0	0	0	0	0.0821428571428571	0.25975852208526	0.917857142857143	0.25975852208526	0.0821428571428571	0.25975852208526	9	0.9	0.918181818181818	9	0.9	0.9	1	0	Post	Athene	Yes	QQ	Low	Low
HEx24	athene-v2-chat	post	3	2	Q	Athene		72.7	271	open	35	1	10	1	0.828571428571429	0	0.171428571428571	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Athene	Yes	Q	Low	Low
HEx30	athene-v2-chat	post	6	5	Q	Athene		72.7	271	open	14	0.9	9	0.9	0.714285714285714	0	0.271428571428571	0.0451753951452626	0	0	0	0	0.0142857142857143	0.0451753951452626	0.985714285714286	0.0451753951452626	0.0142857142857143	0.0451753951452626	9	0.9	0.990909090909091	10	1		1	0	Post	Athene	Yes	Q	High	Low
HEx43	athene-v2-chat	post	8	8	QQ	Athene		72.7	271	open	28	0.1	1	0.1	0.592857142857143	0.0677630927178939	0.214285714285714	0	0	0	0.192857142857143	0.0677630927178938	0	0	0.807142857142857	0.0677630927178939	0.192857142857143	0.0677630927178938	1	0.1	0.8875	1	0.1	0.75	0	0	Post	Athene	Yes	QQ	High	High
HEx45	athene-v2-chat	pre	1	2	S	Athene		72.7	271	open	10	1	10	1	0.5	0	0.5	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Athene	Yes	S	Low	Low
HEx45	athene-v2-chat	post	1	1	S	Athene		72.7	271	open	10	1	10	1	0.6	0	0.4	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Athene	Yes	S	Low	Low
HEx60	athene-v2-chat	pre	2	1	S	Athene		72.7	271	open	7	1	10	1	0.428571428571429	0	0.571428571428571	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Athene	Yes	S	Low	Low
HEx60	athene-v2-chat	post	2	1	Q	Athene		72.7	271	open	10	0.2	2	0.2	0.52	0.0421637021355784	0.4	0	0	0	0.08	0.0421637021355784	0	0	0.92	0.0421637021355784	0.08	0.0421637021355784	2	0.2	0.9	10	1		0	0	Post	Athene	Yes	Q	Low	Low
HEx65	athene-v2-chat	pre	3	2	S	Athene		72.7	271	open	13	1	10	1	0.769230769230769	0	0.230769230769231	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Athene	Yes	S	Low	Low
HEx65	athene-v2-chat	post	3	2	NQ	Athene		72.7	271	open	24	0.2	2	0.2	0.133333333333333	0.281091347570523	0.0666666666666667	0.140545673785261	0	0	0	0	0.8	0.421637021355784	0.2	0.421637021355784	0.8	0.421637021355784	2	0.2	0.2	2	0.2	0.2	8	8	Post	Athene	Yes	NQ	Low	Low
HEx74	athene-v2-chat	pre	5	4	Q	Athene		72.7	271	open	9	0.9	9	0.9	0.4	0.140545673785261	0.5	0.175682092231577	0	0	0	0	0.1	0.316227766016838	0.9	0.316227766016838	0.1	0.316227766016838	9	0.9	0.9	9	0.9	0.9	1	1	Pre	Athene	Yes	Q	Low	Low
HEx74	athene-v2-chat	post	5	4	Q	Athene		72.7	271	open	16	1	10	1	0.625	0	0.375	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1		0	0	Post	Athene	Yes	Q	Low	Low
HEx80	athene-v2-chat	pre	6	2	Q	Athene		72.7	271	open	10	0.3	3	0.3	0.41	0.0875595035770913	0.5	0	0	0	0.09	0.0875595035770913	0	0	0.91	0.0875595035770913	0.09	0.0875595035770913	3	0.3	0.9	9	0.9	0.95	0	0	Pre	Athene	Yes	Q	High	Low
HEx80	athene-v2-chat	post	6	5	Q	Athene		72.7	271	open	16	1	10	1	0.625	0	0.375	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1		0	0	Post	Athene	Yes	Q	High	Low
HEx84	athene-v2-chat	pre	2	1	S	Athene		72.7	271	open	8	1	10	1	0.625	0	0.375	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Athene	Yes	S	Low	Low
HEx84	athene-v2-chat	post	2	5	NQ	Athene		72.7	271	open	13	1	10	1	0.692307692307692	0	0.307692307692308	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Athene	Yes	NQ	Low	Low
HEx86	athene-v2-chat	post	4	2	NQ	Athene		72.7	271	open	15	0.2	2	0.2	0.106666666666667	0.224873078056418	0.12	0.200739374055755	0	0	0	0	0.773333333333333	0.415977207352803	0.226666666666667	0.415977207352803	0.773333333333333	0.415977207352803	2	0.2	0.227272727272727	10	1		8	7	Post	Athene	Yes	NQ	Low	Low
HEx90	athene-v2-chat	pre	3	1	S	Athene		72.7	271	open	50	0.5	5	0.5	0.528	0.253894116163062	0.252	0.0885437744847146	0	0	0.098	0.160955480387176	0.122	0.316150456446153	0.78	0.324276973520408	0.22	0.324276973520408	7	0.7	0.833333333333333	5	0.5	0.772727272727273	2	1	Pre	Athene	Yes	S	Low	Low
HEx90	athene-v2-chat	post	3	1	S	Athene		72.7	271	open	42	1	10	1	0.80952380952381	0	0.19047619047619	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Athene	Yes	S	Low	Low
HEx99	athene-v2-chat	pre	7	2	S	Athene		72.7	271	open	15	0.4	4	0.4	0.34	0.155396744329307	0.473333333333333	0.167626863694632	0	0	0.08	0.103279555898864	0.106666666666667	0.31458379322998	0.813333333333333	0.301109061083632	0.186666666666667	0.301109061083632	8	0.8	0.89	5	0.5	0.66	2	1	Pre	Athene	Yes	S	High	Low
HEx99	athene-v2-chat	post	7	3	S	Athene		72.7	271	open	19	0.8	8	0.8	0.742105263157895	0.26542879818652	0.142105263157895	0.0499306998973955	0	0	0.0157894736842105	0.0499306998973955	0.1	0.316227766016838	0.884210526315789	0.314617709073121	0.115789473684211	0.314617709073121	8	0.8	0.876923076923077	9	0.9	0.9	1	1	Post	Athene	Yes	S	High	Low
HEx0	claude-3	post	5	4	QQ	Claude3	37			proprietary	33	1	10	1	0.878787878787879	0	0.121212121212121	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Claude3	No	QQ	Low	Low
HEx101	claude-3	post	9	6	QQ	Claude3	37			proprietary	463	0.1	1	0.1	0.178617710583153	0.379037266559116	0.00302375809935205	0.00637464179155613	0	0	0.0183585313174946	0.0580547734588147	0.8	0.421637021355784	0.181641468682505	0.385370919362441	0.818358531317495	0.385370919362441	1	0.1	0.161538461538462	1	0.1	0.182102908277405	8	8	Post	Claude3	No	QQ	High	High
HEx104	claude-3	pre	6	2	S	Claude3	37			proprietary	25	1	10	1	0.24	0	0.76	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Claude3	No	S	High	Low
HEx104	claude-3	post	6	5	QQ	Claude3	37			proprietary	15	0.3	3	0.3	0.486666666666667	0.0996289412064884	0.373333333333333	0.0562182695141045	0.0266666666666667	0.0562182695141045	0.0133333333333333	0.0281091347570523	0.1	0.090267093384844	0.86	0.101592261783666	0.14	0.101592261783666	3	0.3	0.81	10	1	1	6	0	Post	Claude3	No	QQ	High	Low
HEx111	claude-3	pre	8	3	Q	Claude3	37			proprietary	85	1	10	1	0.117647058823529	0	0.882352941176471	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Claude3	No	Q	High	Low
HEx111	claude-3	post	8	10	QQ	Claude3	37			proprietary	17	1	10	1	0.705882352941177	0	0.294117647058824	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Claude3	No	QQ	High	High
HEx120	claude-3	pre	7	2	S	Claude3	37			proprietary	56	1	10	1	0.625	0	0.375	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Claude3	No	S	High	Low
HEx120	claude-3	post	7	8	NQ	Claude3	37			proprietary	48	0.2	2	0.2	0.66875	0.355383259035185	0.116666666666667	0.0201269121474853	0.025	0.0215165741455968	0.114583333333333	0.266842028567234	0.075	0.237170824512628	0.785416666666667	0.352056622918446	0.214583333333333	0.352056622918446	2	0.2	0.761538461538461	7	0.7	0.781818181818182	1	0	Post	Claude3	No	NQ	High	High
HEx127	claude-3	pre	4	2	Q	Claude3	37			proprietary	21	0.5	5	0.5	0.69047619047619	0.0250974417473681	0.285714285714286	0	0	0	0.0238095238095238	0.0250974417473681	0	0	0.976190476190476	0.0250974417473681	0.0238095238095238	0.0250974417473681	5	0.5	0.9	10	1	1	0	0	Pre	Claude3	No	Q	Low	Low
HEx13	claude-3	pre	5	3	Q	Claude3	37			proprietary	47	1	10	1	0.702127659574468	0	0.297872340425532	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Claude3	No	Q	Low	Low
HEx13	claude-3	post	5	4	QQ	Claude3	37			proprietary	44	0.4	4	0.4	0.481818181818182	0.338933670587405	0.0545454545454545	0.070417879021953	0	0	0	0	0.463636363636364	0.407572941299271	0.536363636363636	0.407572941299271	0.463636363636364	0.407572941299271	4	0.4	0.445454545454545	4	0.4	0.57741935483871	6	1	Post	Claude3	No	QQ	Low	Low
HEx132	claude-3	pre	7	3	Q	Claude3	37			proprietary	363	1	10	1	0.0165289256198347	0	0.983471074380165	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Claude3	No	Q	High	Low
HEx161	claude-3	post	5	6	QQ	Claude3	37			proprietary	13	0.3	3	0.3	0.515384615384615	0.217722356054911	0.230769230769231	0.158061897512025	0.0615384615384615	0.107570138273862	0.0384615384615385	0.12162606385263	0.153846153846154	0.322302694614783	0.746153846153846	0.301322965034309	0.253846153846154	0.301322965034309	3	0.3	0.78	10	1		3	1	Post	Claude3	No	QQ	Low	High
HEx20	claude-3	pre	5	2	S	Claude3	37			proprietary	29	1	10	1	0.586206896551724	0	0.413793103448276	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Claude3	No	S	Low	Low
HEx20	claude-3	post	5	3	QQ	Claude3	37			proprietary	28	0.5	5	0.5	0.767857142857143	0.0564692439315782	0.15	0.0602338601936834	0.0285714285714286	0.0602338601936834	0.0535714285714286	0.0564692439315782	0	0	0.917857142857143	0.101085379596923	0.0821428571428571	0.101085379596923	5	0.5	0.827272727272727	10	1	1	0	0	Post	Claude3	No	QQ	Low	Low
HEx24	claude-3	pre	3	1	S	Claude3	37			proprietary	31	1	10	1	0.806451612903226	0	0.193548387096774	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Claude3	No	S	Low	Low
HEx24	claude-3	post	3	2	Q	Claude3	37			proprietary	35	0.1	1	0.1	0.505714285714286	0.410751206070027	0.08	0.0421637021355784	0.0657142857142857	0.0357618730581306	0.322857142857143	0.410751206070027	0.0257142857142857	0.00903507902905251	0.585714285714286	0.431681834629634	0.414285714285714	0.431681834629634	1	0.1	0.558333333333333	6	0.6	0.6	9	0	Post	Claude3	No	Q	Low	Low
HEx30	claude-3	post	6	5	Q	Claude3	37			proprietary	14	0.6	6	0.6	0.664285714285714	0.158113883008419	0.192857142857143	0.134897290230622	0.0928571428571428	0.134897290230622	0.05	0.158113883008419	0	0	0.857142857142857	0.202030508910442	0.142857142857143	0.202030508910442	6	0.6	0.909090909090909	10	1		0	0	Post	Claude3	No	Q	High	Low
HEx37	claude-3	post	3	2	S	Claude3	37			proprietary	43	0.2	2	0.2	0.541860465116279	0.17542346200601	0.13953488372093	0	0	0	0.318604651162791	0.17542346200601	0	0	0.681395348837209	0.17542346200601	0.318604651162791	0.17542346200601	2	0.2	0.741666666666667	2	0.2	0.63448275862069	0	0	Post	Claude3	No	S	Low	Low
HEx43	claude-3	post	8	8	QQ	Claude3	37			proprietary	29	1	10	1	0.793103448275862	0	0.206896551724138	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Claude3	No	QQ	High	High
HEx45	claude-3	pre	1	2	S	Claude3	37			proprietary	10	1	10	1	0.5	0	0.5	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Claude3	No	S	Low	Low
HEx45	claude-3	post	1	1	S	Claude3	37			proprietary	10	1	10	1	0.6	0	0.4	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Claude3	No	S	Low	Low
HEx60	claude-3	pre	2	1	S	Claude3	37			proprietary	7	1	10	1	0.428571428571429	0	0.571428571428571	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Claude3	No	S	Low	Low
HEx60	claude-3	post	2	1	Q	Claude3	37			proprietary	10	0.5	5	0.5	0.4	0.278886675511359	0.4	0	0	0	0.2	0.278886675511358	0	0	0.8	0.278886675511359	0.2	0.278886675511358	5	0.5	0.75	10	1		0	0	Post	Claude3	No	Q	Low	Low
HEx65	claude-3	pre	3	2	S	Claude3	37			proprietary	13	1	10	1	0.769230769230769	0	0.230769230769231	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Claude3	No	S	Low	Low
HEx65	claude-3	post	3	2	NQ	Claude3	37			proprietary	25	0.8	8	0.8	0.624	0.163516903645396	0.32	0	0	0	0.056	0.163516903645396	0	0	0.944	0.163516903645396	0.056	0.163516903645396	8	0.8	0.933333333333333	9	0.9	0.933333333333333	0	0	Post	Claude3	No	NQ	Low	Low
HEx71	claude-3	post	5	5	QQ	Claude3	37			proprietary	18	0.3	3	0.3	0.516666666666667	0.192539166378815	0.2	0.0876456264162906	0.05	0.0552460514450974	0.144444444444444	0.150900361388618	0.0888888888888889	0.262153161024984	0.716666666666667	0.265080157144842	0.283333333333333	0.265080157144842	3	0.3	0.663636363636364	6	0.6	0.86	2	0	Post	Claude3	No	QQ	Low	Low
HEx74	claude-3	pre	5	4	Q	Claude3	37			proprietary	9	1	10	1	0.444444444444444	0	0.555555555555556	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Claude3	No	Q	Low	Low
HEx74	claude-3	post	5	4	Q	Claude3	37			proprietary	16	1	10	1	0.625	0	0.375	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1		0	0	Post	Claude3	No	Q	Low	Low
HEx80	claude-3	post	6	5	Q	Claude3	37			proprietary	16	1	10	1	0.625	0	0.375	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1		0	0	Post	Claude3	No	Q	High	Low
HEx84	claude-3	pre	2	1	S	Claude3	37			proprietary	8	1	10	1	0.625	0	0.375	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Claude3	No	S	Low	Low
HEx84	claude-3	post	2	5	NQ	Claude3	37			proprietary	13	1	10	1	0.692307692307692	0	0.307692307692308	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Claude3	No	NQ	Low	Low
HEx90	claude-3	pre	3	1	S	Claude3	37			proprietary	50	1	10	1	0.72	0	0.28	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Claude3	No	S	Low	Low
HEx90	claude-3	post	3	1	S	Claude3	37			proprietary	42	0.9	9	0.9	0.778571428571429	0.0978800228147356	0.185714285714286	0.0150584650484209	0.00476190476190476	0.0150584650484209	0.030952380952381	0.0978800228147356	0	0	0.964285714285714	0.112938487863156	0.0357142857142857	0.112938487863156	9	0.9	0.976923076923077	9	0.9	0.956	0	0	Post	Claude3	No	S	Low	Low
HEx99	claude-3	pre	7	2	S	Claude3	37			proprietary	15	1	10	1	0.466666666666667	0	0.533333333333333	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Claude3	No	S	High	Low
HEx99	claude-3	post	7	3	S	Claude3	37			proprietary	20	0.2	2	0.2	0.705	0.192137103826061	0.14	0.0567646212197547	0.03	0.0258198889747161	0.015	0.0474341649025257	0.11	0.260128173535022	0.845	0.245458754172672	0.155	0.245458754172672	7	0.7	0.885714285714286	7	0.7	0.875	2	0	Post	Claude3	No	S	High	Low
HEx0	claude-3-7-sonnet	post	5	4	QQ	Claude3.7				proprietary	33	1	10	1	0.878787878787879	0	0.121212121212121	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Claude3.7	No	QQ	Low	Low
HEx1	claude-3-7-sonnet	post	5	6	NQ	Claude3.7				proprietary	11	0.2	2	0.2	0.490909090909091	0.14342011595393	0.290909090909091	0.103208402217736	0.127272727272727	0.0878265257344815	0.00909090909090909	0.0287479787288034	0.0818181818181818	0.258731808559231	0.781818181818182	0.227575555824468	0.218181818181818	0.227575555824468	2	0.2	0.822222222222222	10	1		1	0	Post	Claude3.7	No	NQ	Low	High
HEx101	claude-3-7-sonnet	pre	9	7	NQ	Claude3.7				proprietary	519	0.3	3	0.3	0.807321772639692	0.194300598547045	0.0460500963391137	0.0586356284527896	0.084971098265896	0.0586356284527896	0.0616570327552987	0.194300598547045	0	0	0.853371868978805	0.214896361033732	0.146628131021195	0.214896361033732	3	0.3	0.641666666666667	3	0.3	0.858382642998028	0	0	Pre	Claude3.7	No	NQ	High	High
HEx101	claude-3-7-sonnet	post	9	6	QQ	Claude3.7				proprietary	463	0.7	7	0.7	0.982937365010799	0.00359250538513311	0.0151187904967603	0	0	0	0.0019438444924406	0.00359250538513309	0	0	0.998056155507559	0.00359250538513311	0.0019438444924406	0.00359250538513309	10	1	1	7	0.7	0.997986577181208	0	0	Post	Claude3.7	No	QQ	High	High
HEx104	claude-3-7-sonnet	pre	6	2	S	Claude3.7				proprietary	25	1	10	1	0.24	0	0.76	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Claude3.7	No	S	High	Low
HEx104	claude-3-7-sonnet	post	6	5	QQ	Claude3.7				proprietary	15	1	10	1	0.6	0	0.4	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Claude3.7	No	QQ	High	Low
HEx108	claude-3-7-sonnet	post	2	3	NQ	Claude3.7				proprietary	12	1	10	1	0.583333333333333	0	0.416666666666667	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1		0	0	Post	Claude3.7	No	NQ	Low	Low
HEx111	claude-3-7-sonnet	pre	8	3	Q	Claude3.7				proprietary	85	1	10	1	0.117647058823529	0	0.882352941176471	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Claude3.7	No	Q	High	Low
HEx111	claude-3-7-sonnet	post	8	10	QQ	Claude3.7				proprietary	17	1	10	1	0.705882352941177	0	0.294117647058824	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Claude3.7	No	QQ	High	High
HEx114	claude-3-7-sonnet	post	5	6	QQ	Claude3.7				proprietary	28	1	10	1	0.785714285714286	0	0.214285714285714	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Claude3.7	No	QQ	Low	High
HEx120	claude-3-7-sonnet	pre	7	2	S	Claude3.7				proprietary	56	1	10	1	0.625	0	0.375	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Claude3.7	No	S	High	Low
HEx120	claude-3-7-sonnet	post	7	8	NQ	Claude3.7				proprietary	48	0.7	7	0.7	0.808333333333333	0.0930659198208386	0.145833333333333	0	0	0	0.0458333333333333	0.0930659198208386	0	0	0.954166666666667	0.0930659198208386	0.0458333333333333	0.0930659198208386	9	0.9	0.992307692307692	7	0.7	0.936363636363636	0	0	Post	Claude3.7	No	NQ	High	High
HEx127	claude-3-7-sonnet	pre	4	2	Q	Claude3.7				proprietary	21	1	10	1	0.714285714285714	0	0.285714285714286	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Claude3.7	No	Q	Low	Low
